environment	sel	parentalACC	gen	acc23	temp	line	replicate	sex	development time	development rate	tibia lenght	growth rate	survival									
constant	cold		20	no	12	9	20no129a	f					0.7									
constant	cold		20	no	12	9	20no129c	f					0.8									
constant	cold		20	no	12	9	20no129c	m														
constant	cold		20	no	12	9	20no129a	m														
constant	cold		20	yes	12	9	20yes129b	f					0.8									
constant	cold		20	yes	12	9	20yes129a	f					0.9									
constant	cold		20	yes	12	9	20yes129a	m														
constant	cold		20	yes	12	9	20yes129b	m														
constant	cold		20	no	12	10	20no1210a	f					0.8									
constant	cold		20	no	12	10	20no1210a	m														
constant	cold		20	yes	12	10	20yes1210a	f					0.7									
constant	cold		20	yes	12	10	20yes1210b	f					0.4									
constant	cold		20	yes	12	10	20yes1210a	m														
constant	cold		20	yes	12	10	20yes1210b	m														
constant	cold		20	no	12	11	20no1211a	f					0.7									
constant	cold		20	no	12	11	20no1211b	f					0.9									
constant	cold		20	no	12	11	20no1211b	m														
constant	cold		20	no	12	11	20no1211a	m														
constant	cold		20	yes	12	11	20yes1211d	f					0.8									
constant	cold		20	yes	12	11	20yes1211a	f					0.8									
constant	cold		20	yes	12	11	20yes1211bii	f					0.9									
constant	cold		20	yes	12	11	20yes1211d	m														
constant	cold		20	yes	12	11	20yes1211b	m					0.3									
constant	cold		20	yes	12	11	20yes1211a	m														
constant	cold		20	yes	12	11	20yes1211bii	m														
constant	cold		20	no	12	12	20no1212a	f					0.8									
constant	cold		20	no	12	12	20no1212a	m														
constant	cold		20	yes	12	12	20yes1212b	f					0.5									
constant	cold		20	yes	12	12	20yes1212a	f					0.5									
constant	cold		20	yes	12	12	20yes1212a	m														
constant	cold		20	yes	12	12	20yes1212b	m														
constant	cold		20	no	12	14	20no1214a	f					0.8									
constant	cold		20	no	12	14	20no1214a	m														
constant	cold		20	yes	12	14	20yes1214b	m					0.5									
constant	cold		20	yes	12	14	20yes1214a	m					0.3									
constant	cold		20	no	12	15	20no1215b	f					0.5									
constant	cold		20	no	12	15	20no1215a	f					0.6									
constant	cold		20	no	12	15	20no1215b	m														
constant	cold		20	no	12	15	20no1215a	m														
constant	cold		20	yes	12	15	20yes1215b	f					0.9									
constant	cold		20	yes	12	15	20yes1215a	f					0.7									
constant	cold		20	yes	12	15	20yes1215b	m														
constant	cold		20	yes	12	15	20yes1215a	m														
constant	cold		20	no	12	16	20no1216b	f					0.8									
constant	cold		20	no	12	16	20no1216a	f					0.8									
constant	cold		20	no	12	16	20no1216b	m														
constant	cold		20	no	12	16	20no1216a	m														
constant	cold		20	yes	12	16	20yes1216a	f					1									
constant	cold		20	yes	12	16	20yes1216b	f					1									
constant	cold		20	yes	12	16	20yes1216b	m														
constant	cold		20	yes	12	16	20yes1216a	m														
constant	hot		20	no	12	1	20no121a	f					1									
constant	hot		20	no	12	1	20no121b	f					1									
constant	hot		20	no	12	1	20no121a	m														
constant	hot		20	no	12	1	20no121b	m														
constant	hot		20	yes	12	1	20yes121a	f					0.5									
constant	hot		20	yes	12	1	20yes121a	m														
constant	hot		20	no	12	2	20no122a	f					0.9									
constant	hot		20	no	12	2	20no122b	f					1									
constant	hot		20	no	12	2	20no122b	m														
constant	hot		20	no	12	2	20no122a	m														
constant	hot		20	yes	12	2	20yes122a	f					0.7									
constant	hot		20	yes	12	2	20yes122a	m														
constant	hot		20	no	12	3	20no123a	f					1									
constant	hot		20	no	12	3	20no123a	m														
constant	hot		20	yes	12	3	20yes123a	f					0.9									
constant	hot		20	yes	12	3	20yes123a	m														
constant	hot		20	no	12	4	20no124a	f					1									
constant	hot		20	no	12	4	20no124b	f					1									
constant	hot		20	no	12	4	20no124a	m														
constant	hot		20	yes	12	4	20yes124a	f					0.5									
constant	hot		20	yes	12	4	20yes124a	m														
constant	hot		20	no	12	5	20no125a	f					0.6									
constant	hot		20	yes	12	5	20yes125b	f					0.9									
constant	hot		20	yes	12	5	20yes125a	f					0.9									
constant	hot		20	yes	12	5	20yes125b	m														
constant	hot		20	yes	12	5	20yes125a	m														
constant	hot		20	no	12	6	20no126a	f					1									
constant	hot		20	no	12	6	20no126a	m														
constant	hot		20	yes	12	6	20yes126a	f					0.8									
constant	hot		20	yes	12	6	20yes126a	m														
constant	hot		20	no	12	7	20no127b	f					1									
constant	hot		20	no	12	7	20no127a	f					1									
constant	hot		20	no	12	7	20no127a	m														
constant	hot		20	no	12	7	20no127b	m														
constant	hot		20	yes	12	7	20yes127a	f					0.8									
constant	hot		20	yes	12	7	20yes127a	m														
constant	hot		20	no	12	8	20no128a	f					1									
constant	hot		20	no	12	8	20no128a	m														
constant	hot		20	yes	12	8	20yes128a	f					0.6									
constant	hot		20	yes	12	8	20yes128b	f					0.8									
constant	hot		20	yes	12	8	20yes128a	m														
constant	hot		20	yes	12	8	20yes128b	m														
variable	inter	fromCOLD	20	no	12	25	20no1225a	f					0.6									
variable	inter	fromCOLD	20	no	12	25	20no1225a	m														
variable	inter	fromCOLD	20	yes	12	25	20yes1225b	f					0.3									
variable	inter	fromHOT	20	no	12	26	20no1226a	f					1									
variable	inter	fromHOT	20	no	12	26	20no1226a	m														
variable	inter	fromHOT	20	yes	12	26	20yes1226a	f					0.8									
variable	inter	fromHOT	20	yes	12	26	20yes1226a	m														
variable	inter	fromHOT	20	yes	12	27	20yes1227a	f														
variable	inter	fromHOT	20	yes	12	27	20yes1227b	f					0.9									
variable	inter	fromHOT	20	yes	12	27	20yes1227b	m														
variable	inter	fromCOLD	20	no	12	28	20no1228a	f					0.6									
variable	inter	fromCOLD	20	no	12	28	20no1228a	m														
variable	inter	fromCOLD	20	yes	12	28	20yes1228a	f					0.6									
variable	inter	fromCOLD	20	yes	12	28	20yes1228a	m														
variable	inter	fromHOT	20	no	12	29	20no1229a	f					0.6									
