 "Paper_title" "paper_reference" "fitness_proxy_used"  "Species" "data_extraction_method " "Mean_sex_not_considered" "standard_error" "Confidence_interval" "Mean_male" "Standard_error_male " "Mean_female" "Standard_error_female" "median_female" "median_male" "standard_deviation" "variance" "effect_sizes" "Selection_temperature" "Assay_temperature" "Control_or_selection_line" "Time_series" "Replicate" "Male_data" "Female_data" "Culture_plate" "Sex_not_considered_data" "Technical_replicate" "Plotting"
 "Evolution of thermal dependence of growth rate of Escherichia coli populations during 20,000 generations in a constant environment" "(Cooper et al., 2001)" "Maximum growth rate Vmax"                          
       0.308219178082192  0.012328767123288           20 "Ancestor"        
       0.517808219178082  0.009589041095891           27 "Ancestor"        
       0.667123287671233  0.020547945205479           32 "Ancestor"        
       0.805479452054794  0.013698630136986           34.5 "Ancestor"        
       0.876712328767123  0.031506849315069           37 "Ancestor"        
       0.846575342465753  0.03972602739726           39 "Ancestor"        
       0.912328767123288  0.063013698630137           40 "Ancestor"        
       0.794520547945205  0.041095890410959           41 "Ancestor"        
       0.535616438356164  0.045205479452055           42 "Ancestor"        
       0.242465753424658  0.010958904109589          37 20 "degrees for 2000 generations"        
       0.576712328767123  0.028767123287671          37 27 "degrees for 2000 generations"        
       0.802739726027397  0.021917808219178          37 32 "degrees for 2000 generations"        
       0.927397260273973  0.026027397260274          37 34.5 "degrees for 2000 generations"        
       1.06301369863014  0.027397260273973          37 37 "degrees for 2000 generations"        
       0.965753424657534  0.053424657534246          37 39 "degrees for 2000 generations"        
       0.93972602739726  0.158904109589041          37 40 "degrees for 2000 generations"        
       0.576712328767123  0.17945205479452          37 41 "degrees for 2000 generations"        
       0.413698630136986  0.206849315068493          37 42 "degrees for 2000 generations"        
                             
                             
                             
                             
                      "generations"       
       0.999155891754642            37 20  0       
       0.755063138087645            37 20  2000       
       0.533557270137309            37 20  5000       
       0.875308889207959            37 20  10000       
       0.714123132495522            37 20  15000       
       0.774155891754642            37 20  20000       
                             
       0.999155891754642            37 27  0       
       1.0698682828405            37 27  2000       
       1.10078157471151            37 27  5000       
       1.11448945431462            37 27  10000       
       1.08660100960485            37 27  15000       
       1.10787355757241            37 27  20000       
                             
       0.999157592062208            37 32  0       
       1.15400630247338            37 32  2000       
       1.1395400856955            37 32  5000       
       1.19957284495462            37 32  10000       
       1.19059182038707            37 32  15000       
       1.19012083519108            37 32  20000       
                             
       0.999159292369775            37 34.5  0       
       1.07176072516228            37 34.5  2000       
       1.11779655253195            37 34.5  5000       
       1.14190351321328            37 34.5  10000       
       1.11590751082529            37 34.5  15000       
       1.14757913987108            37 34.5  20000       
                             
       0.998212221055097            37 37  0       
       1.05001719199873            37 37  2000       
       1.10078157471151            37 37  5000       
       1.15797652064173            37 37  10000       
       1.15845090645286            37 37  15000       
       1.20430140029774            37 37  20000       
                             
       0.999159292369775            37 39  0       
       1.05757505913292            37 39  2000       
       1.07336581550529            37 39  5000       
       1.09085347882928            37 39  10000       
       1.15277698010262            37 39  15000       
       1.13528761647107            37 39  20000       
                             
       0.999155891754642            37 40  0       
       0.911991324652948            37 40  2000       
       0.885231884167491            37 40  5000       
       0.848835100393715            37 40  10000       
       0.957081781015499            37 40  15000       
       1.02089772461063            37 40  20000       
                             
       1.00010466337689            37 41  0       
       0.855269064226284            37 41  2000       
       0.794479668099963            37 41  5000       
       0.725940270084411            37 41  10000       
       0.825676911334628            37 41  15000       
       0.721216815663989            37 41  20000       
                             
       0.999157592062208            37 42  0       
       0.841086798812052            37 42  2000       
       0.879563058739958            37 42  5000       
       0.7108109333555            37 42  10000       
       0.76517316687952            37 42  15000       
       0.764700481375964            37 42  20000       
