 "Paper_title" "paper_reference" "fitness_proxy_used"  "Species" "data_extraction_method " "Mean_sex_not_considered" "standard_error" "Confidence_interval " "Mean_male" "Standard_error_male " "Mean_female" "Standard_error_female" "median_female" "median_male " "standard_deviation" "variance " "effect_sizes" "Selection_temperature" "Assay_temperature" "Control_or_selection_line" "Time_series " "Replicate" "Male_data " "Female_data " "Culture_plate " "Sex_not_considered_data " "Technical_replicate"
 "Swift thermal reaction norm evolution in a key marine phytoplankton species" "(Listmann et al., 2016)" "µ [1/day]"                15 15 400      1.09 
   "(exponential growth rate)"                15 15 400      1.122 
                   15 15 400      1.109 
                   15 15 400      1.056 
                   15 15 400      1.065 
                   15 15 1100      0.934 
                   15 15 1100      0.966 
                   15 15 1100      0.966 
                   15 15 1100      0.929 
                   15 15 1100      0.924 
                   15 15 2200      0.785 
                   15 15 2200      0.802 
                   15 15 2200      0.841 
                   15 15 2200      0.814 
                   15 15 2200      0.761 
                   15 18 400      1.477 
                   15 18 400      1.465 
                   15 18 400      1.472 
                   15 18 400      1.483 
                   15 18 400      1.471 
                   15 18 1100      1.438 
                   15 18 1100      1.406 
                   15 18 1100      1.431 
                   15 18 1100      1.454 
                   15 18 1100      1.419 
                   15 18 2200      1.169 
                   15 18 2200      1.331 
                   15 18 2200      1.329 
                   15 18 2200      1.36 
                   15 18 2200      1.36 
                   15 22 400      1.532 
                   15 22 400      1.523 
                   15 22 400      1.549 
                   15 22 400      1.475 
                   15 22 400      1.517 
                   15 22 1100      1.512 
                   15 22 1100      1.479 
                   15 22 1100      1.516 
                   15 22 1100      1.536 
                   15 22 1100      1.538 
                   15 22 2200      1.165 
                   15 22 2200      1.35 
                   15 22 2200      1.314 
                   15 22 2200      1.379 
                   15 22 2200      1.337 
                   15 24 400      1.37 
                   15 24 400      1.458 
                   15 24 400      1.338 
                   15 24 400      1.399 
                   15 24 400      1.444 
                   15 24 1100      1.185 
                   15 24 1100      1.344 
                   15 24 1100      1.38 
                   15 24 1100      1.288 
                   15 24 1100      1.318 
                   15 24 2200      1.227 
                   15 24 2200      1.21 
                   15 24 2200      1.164 
                   15 24 2200      1.36 
                   15 24 2200      1.329 
                   15 26 400      1.02 
                   15 26 400      0.893 
                   15 26 400      1.085 
                   15 26 400      1.06 
                   15 26 400      0.983 
                   15 26 1100      0 
                   15 26 1100      0.943 
                   15 26 1100      0.575 
                   15 26 1100      0.633 
                   15 26 1100      0.608 
                   15 26 2200      0 
                   15 26 2200      0 
                   15 26 2200      0 
                   15 26 2200      0 
                   15 26 2200      0 
                   15 27 400      0.344 
                   15 27 400      0.356 
                   15 27 400      0.42 
                   15 27 400      0.365 
                   15 27 400      0.416 
                   15 27 1100      0 
                   15 27 1100      0.344 
                   15 27 1100      0 
                   15 27 1100      0 
                   15 27 1100      0 
                   15 27 2200      0 
                   15 27 2200      0 
                   15 27 2200      0 
                   15 27 2200      0 
                   15 27 2200      0 
                   26.3 15 "400 +T"      1 
                   26.3 15 "400 +T"      1.056 
                   26.3 15 "400 +T"      1.039 
                   26.3 15 "400 +T"      1.031 
                   26.3 15 "400 +T"      1.035 
                   26.3 15 "1100 +T"      1.012 
                   26.3 15 "1100 +T"      0.912 
                   26.3 15 "1100 +T"      0.874 
                   26.3 15 "1100 +T"      0.852 
                   26.3 15 "1100 +T"      0.829 
                   26.3 15 "2200 +T"      0.782 
                   26.3 15 "2200 +T"      0.81 
                   26.3 15 "2200 +T"      0.704 
                   26.3 15 "2200 +T"      0.717 
                   26.3 18 "400 +T"      1.417 
                   26.3 18 "400 +T"      1.401 
                   26.3 18 "400 +T"      1.287 
                   26.3 18 "400 +T"      1.389 
                   26.3 18 "400 +T"      1.264 
                   26.3 18 "1100 +T"      1.282 
                   26.3 18 "1100 +T"      1.303 
                   26.3 18 "1100 +T"      1.259 
                   26.3 18 "1100 +T"      1.287 
                   26.3 18 "1100 +T"      1.155 
                   26.3 18 "2200 +T"      1.304 
                   26.3 18 "2200 +T"      1.172 
