development,selection,pop,line,centroid,t14,t16,t20.5,t25,t28,t30,t32,t36
16,C,C1,C1.1.2,2048.203,4,5,5,25,2,34,3,1
16,C,C1,C1.1.4,NA,0,0,0,0,12,0,0,1
16,C,C1,C1.2.2,NA,10,10,32,55,30,22,4,0
16,C,C1,C1.2.4,NA,8,14,45,47,57,24.5,23,1
16,C,C1,C1.3.2,NA,0,0,35,24,NA,33,7,0
16,C,C1,C1.3.3,2010.693,NA,2,NA,13,NA,NA,8,NA
16,C,C1,C1.4.2,NA,25,2,3,26,NA,5,7,0
16,C,C1,C1.4.3,2224.584,0,2,16,19,33,0,2,NA
16,C,C1,C1.5.1,NA,NA,3,33,20,NA,NA,13,NA
16,C,C1,C1.6.1,2078.062,7,12,7,45,41,32,14,7
16,C,C1,C1.8.2,1940.188,16,0,31,37,43,36,40,1
16,C,C1,C1.9.1,NA,4,9,7,NA,NA,4,10,2
16,C,C1,C1.9.2,2196.348,7,7,0,60,NA,23,23,0
16,C,C1,C1.10.1,2168.162,3,5,NA,15,NA,9,NA,NA
16,C,C2,C2.1.3,1724.577,6,NA,29,47,34,14,26,0
16,C,C2,C2.2.2,NA,6,NA,11,16,NA,11,29,NA
16,C,C2,C2.3.1,2159.535,0,19,NA,56,0,20,2,0
16,C,C2,C2.3.2,2104.972,1,9,NA,NA,NA,NA,NA,21
16,C,C2,C2.4.1,2300.811,0,1,1,1,NA,NA,NA,0
16,C,C2,C2.4.2,2069.586,3,16,28,28,21,16,32,0
16,C,C2,C2.5.1,NA,0,2,22,10,24,31,6,0
16,C,C2,C2.5.2,NA,2,18,0,26,0,1,1,1
16,C,C2,C2.6.2,NA,NA,5,NA,67,35,62,1,NA
16,C,C2,C2.6.3,NA,NA,6,11,29,NA,16,14,0
16,C,C2,C2.7.3,2274.244,7,20,10,64,26,31,5,0
16,C,C2,C2.8.3,NA,NA,3,NA,35,12,0,NA,0
16,C,C2,C2.9.2,NA,13,10,9,65,NA,43,1,1
16,C,C2,C2.9.3,2030.315,0,32,12,9,NA,26,0,0
16,C,C2,C2.10.1,NA,0,7,13,14,14,5,NA,2
16,C,C2,C2.10.2,2117.16,NA,8.2,NA,10.5,NA,10,9.5,0
16,C,C3,C3.1.2,NA,0,27,50,NA,NA,53.5,29,0
16,C,C3,C3.1.3,2216.388,17,1,19.5,31.5,67.5,72,15,0
16,C,C3,C3.2.1,2174.791,9,18,32,25,26,7,12,7
16,C,C3,C3.3.1,2134.81,0,6,26,NA,NA,54,46,0
16,C,C3,C3.3.2,NA,7,16,39,56,62,37,24,1
16,C,C3,C3.4.1,NA,NA,NA,NA,62,NA,50,NA,NA
16,C,C3,C3.4.2,2196.197,4,0,NA,26,30,13,9,0
16,C,C3,C3.5.2,2203.393,3,18,29,33,NA,18,17,2
16,C,C3,C3.6.2,2155.72,0,0,36,25,10,1,0,0
