"cabinet" "temp" "rep" "vial" "time" "block"
1 27 1 4 184 1
1 27 1 9 184 1
1 27 1 2 190 1
1 27 1 2 190 1
1 27 1 3 190 1
1 27 1 4 190 1
1 27 1 4 190 1
1 27 1 4 190 1
1 27 1 5 190 1
1 27 1 7 190 1
1 27 1 7 190 1
1 27 1 7 190 1
1 27 1 7 190 1
1 27 1 7 190 1
1 27 1 8 190 1
1 27 1 8 190 1
1 27 1 10 190 1
1 27 1 10 190 1
1 27 1 1 194 1
1 27 1 1 194 1
1 27 1 1 194 1
1 27 1 1 194 1
1 27 1 2 194 1
1 27 1 2 194 1
1 27 1 2 194 1
1 27 1 2 194 1
1 27 1 3 194 1
1 27 1 3 194 1
1 27 1 4 194 1
1 27 1 4 194 1
1 27 1 4 194 1
1 27 1 4 194 1
1 27 1 6 194 1
1 27 1 6 194 1
1 27 1 6 194 1
1 27 1 6 194 1
1 27 1 6 194 1
1 27 1 7 194 1
1 27 1 7 194 1
1 27 1 8 194 1
1 27 1 8 194 1
1 27 1 8 194 1
1 27 1 8 194 1
1 27 1 8 194 1
1 27 1 9 194 1
1 27 1 9 194 1
1 27 1 9 194 1
1 27 1 10 194 1
1 27 1 1 198 1
1 27 1 1 198 1
1 27 1 1 198 1
1 27 1 2 198 1
1 27 1 2 198 1
1 27 1 2 198 1
1 27 1 2 198 1
1 27 1 2 198 1
1 27 1 2 198 1
1 27 1 3 198 1
1 27 1 3 198 1
1 27 1 3 198 1
1 27 1 3 198 1
1 27 1 4 198 1
1 27 1 4 198 1
1 27 1 5 198 1
1 27 1 5 198 1
1 27 1 5 198 1
1 27 1 5 198 1
1 27 1 5 198 1
1 27 1 5 198 1
1 27 1 6 198 1
1 27 1 6 198 1
1 27 1 6 198 1
1 27 1 6 198 1
1 27 1 7 198 1
1 27 1 7 198 1
1 27 1 7 198 1
1 27 1 7 198 1
1 27 1 7 198 1
1 27 1 7 198 1
1 27 1 7 198 1
1 27 1 7 198 1
1 27 1 7 198 1
1 27 1 8 198 1
1 27 1 8 198 1
1 27 1 8 198 1
1 27 1 8 198 1
1 27 1 8 198 1
1 27 1 8 198 1
1 27 1 9 198 1
1 27 1 9 198 1
1 27 1 10 198 1
1 27 1 10 198 1
1 27 1 10 198 1
1 27 1 10 198 1
1 27 1 1 202 1
1 27 1 1 202 1
1 27 1 1 202 1
1 27 1 1 202 1
1 27 1 2 202 1
1 27 1 3 202 1
1 27 1 3 202 1
1 27 1 5 202 1
1 27 1 6 202 1
1 27 1 6 202 1
1 27 1 6 202 1
1 27 1 6 202 1
1 27 1 7 202 1
1 27 1 8 202 1
1 27 1 8 202 1
1 27 1 9 202 1
1 27 1 9 202 1
1 27 1 9 202 1
1 27 1 10 202 1
1 27 1 10 202 1
1 27 1 4 206 1
1 27 1 4 206 1
1 27 1 4 206 1
1 27 1 8 206 1
1 27 1 8 206 1
1 27 1 9 206 1
1 27 1 1 214 1
1 27 1 3 214 1
1 27 1 3 214 1
1 27 1 3 214 1
1 27 1 3 214 1
1 27 1 8 214 1
1 27 1 9 214 1
1 27 1 9 214 1
1 27 1 10 214 1
1 27 1 10 214 1
